Wall time,Step,Value
1742633799.0753407,16000000,-222938.015625
1742633823.8097737,16100000,-95670.40625
1742633848.363992,16200000,-220825.359375
1742633877.9619503,16300000,-143143.0
1742633900.8048806,16400000,-98888.5546875
1742633929.451482,16500000,-140588.5625
1742633952.7163875,16600000,-183592.0
1742633976.803724,16700000,-88740.03125
1742634006.7933621,16800000,-89030.203125
1742634028.9669492,16900000,-87053.1875
1742634057.3509095,17000000,-120628.1484375
1742634079.6409552,17100000,-111810.1875
1742634101.9443564,17200000,-96128.453125
1742634131.0295835,17300000,-97316.7890625
1742634153.546124,17400000,-102886.765625
1742634182.862942,17500000,-69302.328125
1742634204.9010453,17600000,-71419.078125
1742634226.8798585,17700000,-70693.8046875
1742634255.116831,17800000,-83383.421875
1742634277.3272376,17900000,-55026.3671875
1742634305.806327,18000000,-77130.296875
1742634328.4764266,18100000,-79542.21875
1742634350.3321614,18200000,-92803.4296875
1742634379.8698816,18300000,18155.349609375
1742634404.8849075,18400000,-114794.484375
1742634438.4474463,18500000,-48327.53515625
1742634461.7942815,18600000,-13385.25390625
1742634483.904476,18700000,-104570.6875
1742634512.6034667,18800000,-14602.69921875
1742634535.1815042,18900000,-89143.1328125
1742634564.2070916,19000000,-64533.7890625
1742634587.1010451,19100000,-105036.90625
1742634609.710486,19200000,-75399.9140625
1742634637.914675,19300000,-84704.28125
1742634659.96138,19400000,-115810.2421875
1742634688.2620044,19500000,-104899.8984375
1742634711.321046,19600000,-114059.921875
1742634733.6560903,19700000,-82229.3828125
1742634762.0255952,19800000,-119007.125
1742634784.0647285,19900000,-240292.953125
1742634814.632061,20000000,-157487.3125
1742634839.2882488,20100000,-25385.591796875
1742634862.2466311,20200000,-135157.109375
1742634891.427883,20300000,-143481.671875
1742634913.828917,20400000,-161504.625
1742634943.1709864,20500000,-156693.6875
1742634965.366229,20600000,-111390.0859375
1742634987.2864351,20700000,-156316.3125
1742635015.9224076,20800000,-129600.234375
1742635038.571095,20900000,-135463.453125
1742635067.9279213,21000000,-79730.7109375
1742635090.4799097,21100000,-120438.0390625
1742635112.883506,21200000,-179480.375
1742635141.8394766,21300000,-151913.484375
1742635164.0928373,21400000,-148141.0625
1742635193.4538467,21500000,-14503.0390625
1742635215.4525576,21600000,-187655.171875
1742635238.1313293,21700000,-132659.09375
1742635267.2623904,21800000,-147347.859375
1742635290.3377407,21900000,-137483.65625
1742635318.9272072,22000000,-138401.21875
1742635341.8056972,22100000,-128505.7578125
1742635364.6741958,22200000,-148825.375
1742635393.762975,22300000,-157733.109375
1742635416.078507,22400000,-159838.5625
1742635444.7236362,22500000,-154541.65625
1742635467.3004105,22600000,-120006.1796875
1742635490.3578396,22700000,-52204.12109375
1742635519.342487,22800000,-149779.546875
1742635541.97893,22900000,-124371.0859375
1742635570.8053648,23000000,-211430.40625
1742635593.7763748,23100000,-108980.3671875
1742635616.4032574,23200000,-252616.125
1742635644.8497508,23300000,-233711.3125
1742635667.0796096,23400000,-147856.9375
1742635695.4935277,23500000,-140897.046875
1742635717.5694168,23600000,-130874.5859375
1742635739.5487545,23700000,-109248.71875
1742635768.043829,23800000,-85512.6171875
1742635791.017787,23900000,134211.359375
1742635819.4681115,24000000,-4.072159290313721
1742635842.6863492,24100000,102610.7578125
1742635865.2795634,24200000,-104471.390625
1742635893.3218255,24300000,-117313.03125
1742635915.351288,24400000,-136504.03125
1742635943.6935744,24500000,-81659.1640625
1742635966.7412176,24600000,-80337.7421875
1742635988.932965,24700000,-96964.2578125
1742636018.050464,24800000,-95688.28125
1742636040.9435003,24900000,-85272.4609375
1742636069.204534,25000000,-143605.328125
1742636091.647986,25100000,-96492.0234375
1742636114.9304633,25200000,-104287.75
1742636144.6448424,25300000,-124763.8671875
1742636167.5017476,25400000,-123302.875
1742636196.1961296,25500000,-169088.28125
1742636218.764162,25600000,-96914.9609375
1742636241.6681406,25700000,-118049.125
1742636269.8227828,25800000,10741.3837890625
1742636292.203115,25900000,2092.023681640625
1742636320.3105314,26000000,-75515.6796875
1742636342.780995,26100000,-111729.0234375
1742636366.1481621,26200000,-174479.90625
